,GDP_GR,GDP_Level,Pop_Growth,Inv_Share,const
ABW,0.09106078762246872,8.967534266642913,0.002581924347945297,-0.9299813128018274,1
AGO,-0.023319972191265227,8.485129946997366,0.03556539430358012,-1.0922469448263616,1
AIA,0.05101041779394393,9.213981992275691,0.013898204338552817,-0.40801023109635526,1
ALB,0.008365227277826381,8.043691736739195,0.021427244246058796,-1.774831549172856,1
ARE,-0.0365310036270909,12.61401436922968,0.10946368700245161,-0.852079340468411,1
ARG,0.02224685170516262,8.0746275229999,0.01552728809225324,-1.9894236395376206,1
ATG,0.038664332469544684,8.73784619950873,-0.0012933463475147567,-1.8387491564781981,1
AUS,0.021300653338676236,9.667725630307139,0.016215151075937583,-1.1876694631061306,1
AUT,0.03192756563385591,9.231409374725525,0.002844436485131474,-1.3936323840087042,1
BDI,0.00987388994925095,6.626707384212526,0.022625133345504887,-2.2141075943344344,1
BEL,0.029966142795914585,9.271254585078724,0.003123826442190832,-1.2452342523107662,1
BEN,-0.009255997986862703,7.484376528881607,0.02630897241375161,-2.7693944395319225,1
BFA,0.0044613538102711145,6.8849647319795295,0.018021068354321674,-2.2420085968091366,1
BGD,-0.0006866190962476241,7.354524419392855,0.023056593382576627,-2.7066995508017593,1
BGR,0.048711767475002075,8.421956777917003,0.0019321794456962083,-2.257814124829145,1
BHR,-0.01571146258334242,9.990006226422981,0.04334542209294769,-0.8022028705754073,1
BHS,0.002258071080566726,10.245572413353132,0.020914220023123663,-2.1544438488109887,1
BLZ,0.029489953739462393,8.291011861902051,0.02167341294917441,-1.9605580820989803,1
BMU,0.014254029560099824,12.234167898667689,0.007991180432245504,-1.4157025290624592,1
BOL,0.005852712968483006,7.58003146193917,0.022294176116336824,-1.9920263987894151,1
BRA,0.03361637605840769,7.756559133130284,0.024895302093980106,-1.5845082991573725,1
BRB,0.017506470189421523,9.143303072363889,0.003866054646270223,-2.203644388210598,1
BRN,-0.006473992863413347,11.142434060293228,0.03522002579309156,-1.8543618600200937,1
BTN,0.019816228024429304,7.59544680837416,0.029411483801086956,-1.145858283506397,1
BWA,0.08805859660958516,6.240865423534263,0.029805260750182718,-1.244634709786534,1
CAF,-0.008304379102543743,7.346168593131038,0.022391124244008503,-1.6351559228701298,1
CAN,0.026592611729142963,9.641731360668938,0.014374316894843763,-1.3903321335771412,1
CHE,0.019922108395774234,10.054022016494391,0.007872729251180799,-0.931333478703862,1
CHL,0.014552106438000341,8.552205606309194,0.017364989978691195,-2.0491473505978517,1
CHN,0.029750695098127798,6.901912959843379,0.01968534895001379,-1.6341168456117179,1
CIV,0.010241934377113864,7.487718648494508,0.04407818125073724,-2.280437629772527,1
CMR,0.01723989808465284,7.359214010087403,0.02612933887605688,-1.6737812134484817,1
COD,-0.023192036112840892,8.000957057949638,0.027677158266565687,-1.550501284112928,1
COG,0.012811757720434436,7.629246866279837,0.027478566132097634,-1.6081497566896352,1
COL,0.022557944744306665,8.262445817280566,0.024559107830512437,-1.4589714967687681,1
COM,0.022859580189764462,7.622230890692161,0.028327608077412768,-0.9713709416510886,1
CPV,0.020854600835772265,7.137076238587678,0.018286736943424708,-0.6139752637189568,1
CRI,0.016687547512862246,8.553593407966657,0.02886983732495308,-2.139242262208793,1
CYM,0.046354523868148687,10.52125520965967,0.052277943583698507,-1.3728505162391806,1
CYP,0.055569888727567296,8.355734503877956,0.0011146814338618305,-0.6526195966414783,1
DEU,0.030785105314140773,9.319986686037314,0.002576793442024668,-1.1089747800538468,1
DJI,-0.058800160239988575,9.121196786734298,0.0678975022890853,-2.1316582191153772,1
DMA,0.0345653328535243,8.481477702912086,-0.00043682502467797256,-2.3876815446500745,1
DNK,0.023930341658781155,9.51552751693139,0.0038405344165688563,-1.311165626970187,1
DOM,0.015248741096042314,8.08151232730488,0.0261673695608154,-1.7183933162350495,1
DZA,-0.0036133805144749212,9.290538172223815,0.027794385071866087,-0.925531585389027,1
ECU,0.011619437565825664,8.381216393922465,0.02766186542643415,-1.3777419962248432,1
EGY,0.03750992812742388,6.642400632867528,0.023951419531638922,-2.8985990611836403,1
ESP,0.03569338655680886,8.759057552250708,0.00824550011928394,-1.4074653494985252,1
ETH,0.014210501839857236,6.284922073654193,0.02431905219756316,-2.919306469618458,1
FIN,0.033895069247986895,9.204846752740858,0.003978702533351749,-0.9598666818931791,1
FJI,0.026636969998949312,8.046297329382865,0.020826369905457793,-1.377523564949248,1
FRA,0.02971049037644852,9.317814816295872,0.007449459026458845,-1.2515842135188098,1
GAB,0.03758111677268907,8.258848764868382,0.020896993833601805,-1.8701740343907955,1
GBR,0.02149124640096905,9.49384764223884,0.0029438360020480688,-1.429533479272262,1
GHA,-0.014584601602528509,8.419949280561825,0.025671500956240687,-1.1307285644900447,1
GIN,0.00039295783622564546,8.136149929827715,0.02056243448382494,-2.964901520521647,1
GMB,0.0007345397309834153,7.943013037479976,0.03533929351871934,-2.4352726249280168,1
GNB,0.02283394282276759,6.752284929620294,0.011147252981142212,-1.563440998103941,1
GNQ,0.024993568296236765,7.069649953946667,0.014846045958109304,-3.135454615916003,1
GRC,0.0391733612087141,8.609153686887215,0.0073724687669222575,-1.034552913596787,1
GRD,0.045160610347146427,7.7121388657042385,0.0010711366713745674,-1.7849038379352546,1
GTM,0.01741547769293629,7.773551454835501,0.02530269776410426,-2.098427722491875,1
GUY,-0.010150366929010612,8.249386091566468,0.0026860907840193238,-1.6613817452349717,1
HKG,0.05647927549278844,8.700285190235109,0.021936234204838225,-1.5862439073432943,1
HND,0.012401949183376271,7.71548767340573,0.03210335835934481,-2.0154903589482385,1
HTI,0.0002642859476875259,7.299317561754293,0.020694588872113062,-1.6564821325039851,1
HUN,0.043274295213760805,8.69599007295783,6.04872266777412e-05,-1.4001734624695696,1
IDN,0.030220668043921577,7.235542273691764,0.022128644489420455,-2.072459295541949,1
IND,0.006746391003306555,7.06310975929745,0.022617383272615976,-1.870229182973199,1
IRL,0.03483014627826761,8.809436505918748,0.0076858628602119155,-1.4127216705651815,1
IRN,-0.0069182001857482685,8.306980579621019,0.032993707379734664,-1.3201022220308074,1
IRQ,0.02117179718663431,8.458655193519178,0.028570233283998558,-1.816357108136546,1
ISL,0.03270918608811346,9.451283633322843,0.012420790923875831,-0.9636928581676752,1
ISR,0.031120116959589515,9.137563509805267,0.025768207142135804,-1.3021705812813764,1
ITA,0.04235188483117387,8.933645361231882,0.004365381308262894,-1.3153701242589473,1
JAM,-0.0014769452532365317,8.616693552957727,0.014439428348837158,-1.8063617813496498,1
JOR,0.007876137290691313,8.015881888515107,0.04449358327806604,-1.4457796559513831,1
JPN,0.05601861853823144,8.607696648743133,0.009196700858805995,-1.045246862392473,1
KEN,0.009535577743764189,7.4610642414685975,0.03606683827153688,-2.1936171862419407,1
KHM,-0.023857512501335786,7.503833111023228,0.012800254978870518,-2.57688461603573,1
KNA,0.05257423817193123,8.400239431595562,-0.00541703343628856,-1.4312470792399605,1
KOR,0.07993649445535951,7.135725439028301,0.018541417748015078,-1.2712589167735768,1
KWT,-0.0922921803875945,11.861129852859197,0.053214439061327966,-1.42942571121069,1
LAO,0.030010515027522368,6.652279221980063,0.023284841751264485,-1.8017244302760282,1
LBN,-0.022566271422651597,8.933310596732518,0.010045677074022596,-1.6718465808403353,1
LBR,-0.024531939090549508,7.447829699790735,0.022358740638738314,-1.7407957978111754,1
LCA,0.034425228583181686,8.535352951216591,0.014247493964332347,-2.0908852818681156,1
LKA,0.004093039066781875,7.996311605471531,0.01915337934997694,-1.7971234310524078,1
LSO,0.02853978784951329,6.928959167852617,0.024355885793563032,-2.0425179205083115,1
LUX,0.024871951002087833,9.823766327319898,0.0064971553321118815,-1.219690747049635,1
MAC,0.06991588666097677,8.758009238320176,0.017068960597878886,-1.1684338501555034,1
MAR,0.0392870514626576,7.243455714871396,0.02311772775855602,-2.152581339153277,1
MDG,-0.004077559588386789,7.383479016774991,0.026273776783450352,-3.0669105583340506,1
MDV,0.043855120424204495,8.004037472291154,0.03339683249959511,-2.281320634328297,1
MEX,0.020589279873805804,8.806377464675702,0.02710461272905389,-1.624100440963791,1
MLI,-0.0011719726800563102,6.654922581073524,0.01888243344687058,-2.606202495868012,1
MLT,0.0955937057238617,6.7540350666801645,0.0030979914491803856,-0.657475287800609,1
MMR,0.00020875828765893573,6.630847703443083,0.021595824259565417,-2.987942799839647,1
MNG,0.050770785511328055,7.228875292154912,0.027127978987046407,-1.0482827354739426,1
MOZ,0.002672471605379852,6.491033471475627,0.019675442663195833,-2.0133803793135443,1
MRT,0.015667043047018017,7.609928980224411,0.024192337723255124,-1.4671392753948438,1
MSR,0.05507957575870313,9.60090898592446,-0.004120595367975039,-0.9533913041289298,1
MUS,0.03525430819794379,8.322145817019006,0.01576637591365114,-2.3713976792923233,1
MWI,0.0055379494048755674,6.801685757394285,0.032576586246970636,-1.7704107127638367,1
MYS,0.04145116349686635,7.897446331940527,0.02600696853145843,-1.4245175064608782,1
NAM,0.0061941251189882845,8.343866264004685,0.02769944832778802,-1.5467656008926376,1
NER,-0.01688539311170357,7.605071123519624,0.026659740228739272,-1.8540479686705074,1
NGA,-0.024028405358000823,7.601788085089783,0.027786555769862633,-0.5104136277704268,1
NIC,-0.01052796291637102,8.487084323088881,0.02939853372610357,-1.580563452514296,1
NLD,0.025797773597609583,9.481369674589828,0.008943170758659417,-1.2878409709030951,1
NOR,0.03225718249258248,9.429388241317815,0.005715334651667936,-1.0368606854035798,1
NPL,0.0133726170989562,6.635731151634397,0.020899177124682818,-2.5917524030110695,1
NZL,0.01575876040237117,9.572077408604134,0.012196205995781691,-1.4355513327312284,1
OMN,0.032444992413760955,8.874530585176474,0.04698578651462981,-1.3159564290352948,1
PAK,0.024917861846758083,7.176925393167209,0.029820654798351904,-2.2230800695288395,1
PAN,0.029279866647700933,7.968373084422817,0.026161438433717425,-1.6232140805562183,1
PER,0.008087930597068678,7.973615700946529,0.02629561407179033,-2.0370029159860206,1
PHL,0.023555226167252356,7.612836235479979,0.028733733575569572,-1.6693430722671487,1
POL,0.019573936895321963,8.662735052942118,0.007581661717666543,-1.6516836284643084,1
PRT,0.041376919591196014,8.42869782379385,0.004534802073907851,-1.4547020167743685,1
PRY,0.026748692843018416,7.760317139463426,0.026841880924101943,-1.5432545620899825,1
PSE,0.03164879961175191,7.236268598139144,0.03167604300640954,-0.7911844893081558,1
QAT,-0.05347417731246038,11.556725487613159,0.07654278227725378,-1.8875729463683766,1
ROU,0.05619395422049423,7.324587757008205,0.007687186950970888,-1.5540199325715391,1
RWA,0.002636053458918752,6.946678906287046,0.029841564811402425,-3.461718128541686,1
SAU,-0.012819391527354184,10.100412830177698,0.05250990821323158,-1.0060745723428144,1
SDN,0.006454232598073872,7.487646488773296,0.034209560599808356,-2.150151813851059,1
SEN,9.262960307256188e-05,7.961416588473165,0.028664872676744682,-3.3094100991043915,1
SGP,0.07792871874151916,7.924626232100643,0.020398762114742987,-0.7089077922937239,1
SLE,0.019364062102769346,6.8018672038592145,0.02058777732605369,-3.8202407826095124,1
SLV,0.011395087394063304,6.613448673678182,0.02345995075419862,-2.3053855832518204,1
STP,-0.008271800680933649,7.744924331809931,0.02374750818132426,-2.4427483812847264,1
SUR,0.01790872888952526,8.498902273832494,0.004876406056820354,-1.7227193562155525,1
SWE,0.0270230292949338,9.508241000574854,0.0044856857413915355,-1.1621834307204517,1
SWZ,0.05194946045755975,7.779785425567217,0.03280672080209389,-2.191679602350009,1
SYC,0.03654318584428573,8.78811854448238,0.018879145072546878,-1.1491830059500545,1
SYR,-0.01911828192455888,7.8625655976493585,0.033739655533267986,-1.7090647648691157,1
TCA,0.06397582663377274,9.176147274210141,0.03716880964148993,-1.0903580567651927,1
TCD,-0.006230023866074971,7.2739649496078735,0.023470307092801918,-2.1619880094578727,1
TGO,0.014271170484987146,7.121441445229024,0.0297522057766072,-1.2781072922211845,1
THA,0.05307713774105881,7.094820345132962,0.024516634694430654,-1.5531677724601618,1
TTO,0.0036404649900074896,9.29908505590752,0.01286906004332774,-2.188955434326365,1
TUN,0.04006896767971178,7.534705748017126,0.023444834598345794,-1.857378276041454,1
TUR,0.026745491603967213,8.543030101498013,0.022675007733458007,-1.3878337432011563,1
TWN,0.0718131447937714,7.865816283578382,0.021674757740468786,-1.2597617547050464,1
TZA,-0.001969574128222688,7.057440437053823,0.030166182259919204,-1.8452825943823328,1
UGA,0.0010760653946909097,6.766162755378679,0.030679843201998347,-1.9345193807327097,1
URY,0.008582257410891359,8.918674384133565,0.007057958581394893,-1.8002407292275326,1
USA,0.024321094314990965,9.856371045039705,0.010446455129057989,-1.3748629935347445,1
VCT,0.023589886807473537,8.328946814762658,0.008634148884348524,-2.083397368644119,1
VEN,0.003487503586087411,8.9423639081178,0.030365266327867787,-1.1191193160126325,1
VGB,0.019391766391933095,8.95910607214133,0.02934665701429019,-0.8247039820519352,1
VNM,0.015282731242201298,6.827815865457307,0.0226926922291766,-2.5948704363538835,1
YEM,0.1629204485578981,6.545097050009493,0.04654640819427569,-3.3031825313510987,1
ZAF,0.011318315616361652,8.820705321043436,0.02627325221533141,-1.516571032517633,1
ZMB,-0.010531786320449635,7.516503409931977,0.031194315762259277,-3.0511039494952827,1
ZWE,0.025746894622299177,7.8030335143167155,0.03381524751856835,-1.9110260017394214,1
